PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Swindles,N. Ireland,Slieveanorra,SL31,55.0728,-6.2108,-10,4.1,27.1,0,0,0,0,3.3,44.4,0,5.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,13.9,0.7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO9,54.1417,-7.5425,-9,4.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Swarth Moor,SM116,54.1214,-2.2975,-8,5,5.9,0,5.9,11.2,0,0,0,0,3.9,0,0,0.7,2,0,1.3,0,0,5.3,2.6,0,0,0,17.1,13.8,23,0,1.3,0,0,0,0,0,2,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO16,54.1417,-7.5425,-7,3.7,56.3,0,3,0,0,0,6.7,0,0.6,0,0,0,0,0,0,0,0,5.4,2.4,0,0,0,2.4,12.1,0.6,0,0,0,0,0,1.2,0,4.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Fleet Moss,FM141,54.2464,-2.2094,-7,4.7,12.5,0,0,0,0,0,0,0,0.7,0,0,1.3,0,0,1.3,0,0,11.8,4.6,0,0,0,1.3,34.2,1.3,0,0,0,0,0,0,0,12.5,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S38,68.3563,19.0477,-5,3.1,0,2.5,0,0,0,0,45.9,0,2.5,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,31.1,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Czarci Staw,CZS12,53.3797,17.0759,-5,5.2,0,5.3,0.8,3,0,0,0,0.8,4.5,0,0,2.3,2.3,0,7.6,0,0,3.8,0,0,0,0,0.8,0,3,3.8,0.8,3.8,0,0,1.5,0,0,0.8,0,0,0,0,12.1,0,0,0,0,17.4,0,25,0
Swindles/Turner,Sweden,Stordalen,S37,68.3563,19.0477,-5,3.1,0,0,4.4,0,0,0,46,0,9.7,0,0,0,0,0,0,0,0,37.2,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S39,68.3563,19.0477,-5,3.1,0,0,5.3,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0
Swindles/Turner,Sweden,Craterpool,P5,68.3196,19.8572,-5,4.3,0,1.7,6.1,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,4.3,0.9,0,0,7.8,0,0,18.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO15,54.1417,-7.5425,-5,3.8,21.5,0,0.6,0,0,0,32.3,0,1.9,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,26.5,0.6,0,0,0,0,0,11.4,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Swarth Moor,SM103,54.1214,-2.2975,-5,4.7,3.9,0,5.9,13.2,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,22.4,3.3,0,0,0,9.9,24.3,2,0,0,1.3,0,0,0,0,3.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
Bobrov,Russia,Staroselia,STAR_8,56.4666,33.05,-5,4,7.5,0.9,2.2,0,0,31.4,3.1,0,0,0,0,0,0,0,0,0,0.3,17.6,15.1,0,0,0.9,0,4.4,0,0,4.1,0,0,0,1.9,0,8.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
