,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species name,Genus,species,ssp / var.,Full name,Code genus,Code sp,Code full,"Length (or diameter, if round) min","Length (or diameter, if round) max","Length (or diameter, if round) mid-range","Width (or diameter, if round) min","Width (or diameter, if round) max","Width (or diameter, if round) mid-range",Height (usually min of the 3 dimension) min,Height (usually min of the 3 dimension) max,Height (usually min of the 3 dimension) mid-range,Aperture size (long axis) min,Aperture size (long axis) max,Aperture size (long axis) mid-range,Aperture size (short axis) min,Aperture size (short axis) max,Aperture size (short axis) mid-range,Shell compression ratio height / width,Calculated category 1: Circular cross section or almost h/w>0.8),Calculated category 2: moderatly compressed (h/w 0.4-0.8),Calculated category 3 strongly compressed (h/w <0.4),Calculated compression category 1: Circular cross section or almost h/w>0.8); 2: moderatly compressed (h/w 0.4-0.8); 3 strongly compressed (h/w <0.4),Rapid guess_1,Shell elongation ratio length / width,Calculated category 1: Circular or almost: l/w<1.2),Calculated category 2: moderatly elongated (l/w 1.2-2),Calculated category 13 strongly compressed (1/w >2),Calculated elongation category 1: Circular or almost: l/w<1.2); 2: moderatly elongated (l/w 1.2-2); 3 strongly elongated (1/w >2),Rapid guess_2,Shell volume calculation from compiled biometric data Length,Shell volume calculation from compiled biometric data Width,Shell volume calculation from compiled biometric data Height,Shell volume calculation from compiled biometric data Shell volume (for codes see separate spreadsheet),Biovolume calculation from compiled biometric data Length,Biovolume calculation from compiled biometric data Width (80%),Biovolume calculation from compiled biometric data Height (80%),Biovolume calculation from compiled biometric data Biovolume (for codes see separate spreadsheet),Material 1: protein; 2: silica; 3: Si+Organic; 4: calcite; 5: recycled idiosomes; 6: xenosomes ,Origin or material 1: self-secreted; 2: mix self-secreted + xenosome; 3: xenosomes /recycled idiosomes,Aperture position 1: Ventral-central; 2: ventral off-central; 3: subterminal; 4: terminal,Nr apertures 1 or 2,"Taxonomy 1: Arcellinida; 2: Euglyphida; 3: Stramenopiles, 4: other",Pseudopod type 1: Broad; 2: narrow; 3: n.a.,Metabolism 1: heterotroph; 2: mixotroph,Shell_symmetry,Ap_shape,Ap_invag,References,Remarks,Contributor
Species name,Genus,species,ssp / var.,Full name,Code genus,Code sp,Code_full,L_min,L_max,L_mid,W_min,W_max,W_mid,H_min,H_max,H_mid,ApL_min,ApL_max,ApL_mid,ApW_min,ApW_max,ApW_mid,Compres_ratio,Calculated category 1: Circular cross section or almost h/w>0.8),Calculated category 2: moderatly compressed (h/w 0.4-0.8),Calculated category 3 strongly compressed (h/w <0.4),Compres_categ,Rapid guess_1,Elong_ratio,Calculated category 1: Circular or almost: l/w<1.2),Calculated category 2: moderatly elongated (l/w 1.2-2),Calculated category 13 strongly compressed (1/w >2),Elong_categ,Rapid guess_2,Shell volume calculation from compiled biometric data Length,Shell volume calculation from compiled biometric data Width,Shell volume calculation from compiled biometric data Height,Shell_vol,Biovolume calculation from compiled biometric data Length,Biovolume calculation from compiled biometric data Width (80%),Biovolume calculation from compiled biometric data Height (80%),Biovol,Material,Mat_origin,Ap_position,Ap_n,Taxo,Pseudopod,Mixo,Shell_symmetry,Ap_shape,Ap_invag,References,Remarks,Contributor
Alabasta (Nebela) longicollis,Alabasta,longicollis,,Alabasta longicollis ,Alab,long,Alab long,120,140,130,40,45,43,31,36,34,19,22,20,15,17,16,0.79,,2,,2,,3.06,,,3,3,,130,43,34,123945,105,34,27,64160,5,3,4,1,1,1,1,,,,,,Mitchell
Alabasta (Nebela) militaris  ,Alabasta,militaris,,Alabasta militaris ,Alab,mili,Alab mili,50,70,60,25,41,33,11,16,14,15,20,18,7,9,8,0.42,,2,,2,,1.82,,2,,2,,60,33,14,18143,37,26,11,7231,5,3,4,1,1,1,1,biradial,oval,absent,,,Mitchell
Alocodera cockayni broad,Alocodera,cockayni,var broad,Alocodera cockayni var broad,Aloc,c_br,Aloc c_br,126,132,129,96,101,99,48,56,52,32,34,33,24,26,25,0.53,,2,,2,,1.31,,2,,2,,129,99,52,440492,70,79,42,154051,1,1,4,1,1,1,1,,,,,,Mitchell
Alocodera cockayni narrow,Alocodera,cockayni,var narrow,Alocodera cockayni var narrow,Aloc,c_na,Aloc c_na,110,125,117,66,86,76,24,50,37,25,38,31,11,25,18,0.48,,2,,2,,1.54,,2,,2,,117,76,37,219246,68,61,29,81528,1,1,4,1,1,1,1,,,,,,Mitchell
Amphitrema stenostoma,Amphitrema,stenostoma,,Amphitrema stenostoma ,Amph,sten,Amph sten,45,97,71,25,54,40,17,36,27,6,13,10,6,13,10,0.67,,2,,2,,1.79,,2,,2,,71,40,27,49885,44,32,21,19726,6,3,4,2,3,1,2,biradial,oval,absent,,,Mitchell
Amphitrema wrightianum,Amphitrema,wrightianum,,Amphitrema wrightianum ,Amph,wrig,Amph wrig,50,95,73,37,70,53,25,47,36,7,13,10,7,13,10,0.67,,2,,2,,1.36,,2,,2,,73,53,36,91956,40,43,28,32579,6,3,4,2,3,1,2,biradial,oval,absent,,,Mitchell
Apodera angatakere,Apodera,angatakere,,Apodera angatakere ,Apod,anga,Apod anga,123,220,171,83,154,118,38,74,56,23,46,34,12,21,17,0.47,,2,,2,,1.45,,2,,2,,171,118,56,755825,97,95,45,274375,5,3,4,1,1,1,1,,,,,,Mitchell
Apodera vas broad,Apodera,vas,var broad,Apodera vas var broad,Apod,v_br,Apod v_br,135,176,156,90,152,121,30,55,43,33,38,35,24,27,26,0.35,,,3,3,,1.29,,2,,2,,156,121,43,533106,84,97,34,185186,5,3,4,1,1,1,1,,,,,,Mitchell
Apodera vas skinny,Apodera,vas,var narrow,Apodera vas var narrow,Apod,v_na,Apod v_na,107,145,126,65,89,77,32,60,46,23,37,30,13,30,22,0.60,,2,,2,,1.63,,2,,2,,126,77,46,297056,75,62,37,113131,5,3,4,1,1,1,1,,,,,,Mitchell
